chr	pos
chrI	58827
chrI	60384
chrI	60774
chrI	60912
chrI	61585
chrI	62565
chrI	62726
chrI	63385
chrI	63658
chrI	64676
chrI	64781
chrI	66129
chrI	67715
chrI	68725
chrI	68739
chrI	69675
chrI	69678
chrI	70497
chrI	70621
chrI	71532
chrI	71533
chrI	71534
chrI	71535
chrI	74208
chrI	75277
chrI	76117
chrI	77433
chrI	77554
chrI	79449
chrI	79659
chrI	79680
chrI	79924
chrI	80554
chrI	82244
chrI	83337
chrI	84108
chrI	84858
chrI	85436
chrI	86648
chrI	86963
chrI	87548
chrI	87608
chrI	88008
chrI	89705
chrI	90387
chrI	90924
chrI	91173
chrI	91665
chrI	91791
chrI	92310
chrI	92703
chrI	92722
chrI	92934
chrI	92983
chrI	93184
chrI	93466
chrI	94915
chrI	95018
chrI	95055
chrI	95139
chrI	95169
chrI	95190
chrI	95238
chrI	95376
chrI	95388
chrI	95448
chrI	97709
chrI	98885
chrI	99440
chrI	100063
chrI	101177
chrI	101371
chrI	101607
chrI	101712
chrI	102345
chrI	102864
chrI	103110
chrI	103307
chrI	103782
chrI	103899
chrI	104469
chrI	105800
chrI	107028
chrI	110014
chrI	110131
chrI	110595
chrI	111655
chrI	111983
chrI	112184
chrI	112232
chrI	112808
chrI	113789
chrI	114133
chrI	115494
chrI	115785
chrI	116334
chrI	116511
chrI	117940
chrI	118822
chrI	119350
chrI	120347
chrI	120818
chrI	121421
chrI	121453
chrI	121907
chrI	121957
chrI	122202
chrI	124373
chrI	124452
chrI	124567
chrI	124657
chrI	124671
chrI	124719
chrI	125133
chrI	125610
chrI	126258
chrI	126483
chrI	127274
chrI	127572
chrI	127881
chrI	128455
chrI	128843
chrI	129075
chrI	132423
chrI	132723
chrI	133080
chrI	133429
chrI	134414
chrI	135222
chrI	136961
chrI	137148
chrI	138791
chrI	138793
chrI	138824
chrI	139045
chrI	139123
chrI	140418
chrI	141180
chrI	141342
chrI	141802
chrI	143806
chrI	144684
chrI	145720
chrI	147607
chrI	147655
chrI	147759
chrI	148886
chrI	149594
chrI	149913
chrI	149973
chrI	152004
chrI	152274
chrI	154086
chrI	156453
chrI	157339
chrI	158641
chrI	160254
chrI	160564
chrI	166119
chrI	166128
chrI	166130
chrI	166443
chrI	166820
chrI	167064
chrI	167179
chrI	171389
chrI	174746
chrI	174919
chrI	175307
chrI	175318
chrI	176001
chrI	176220
chrI	178602
chrI	178654
chrI	178674
chrI	178802
chrI	179149
chrI	179796
chrI	180049
chrI	180139
chrI	180221
chrI	180286
chrI	180603
chrI	180646
chrI	180652
chrI	180697
chrI	180818
chrI	180835
chrI	180842
chrI	181117
chrI	181119
chrI	182093
chrI	182141
chrI	182201
chrI	182605
chrI	183100
chrI	183101
chrI	183270
chrI	183331
chrI	183353
chrI	183545
chrI	183596
chrI	184083
chrI	184235
chrI	184256
chrI	184481
chrI	184488
chrI	184492
chrI	184510
chrI	184520
chrI	185480
chrI	186504
chrI	186505
chrI	186819
chrI	186907
chrI	186963
chrI	186974
chrI	187734
chrI	188151
chrI	188190
chrI	188386
chrI	188881
chrI	188939
chrI	189066
chrI	189669
chrI	189736
chrI	189817
chrI	189934
chrI	190429
chrI	190636
chrI	192073
chrI	192139
chrI	192169
chrI	192429
chrI	192469
chrI	192531
chrI	192954
chrI	193807
chrI	194241
chrI	194475
chrI	194803
chrI	194831
chrI	196500
chrI	196779
chrI	196861
chrI	196891
chrI	196932
chrI	197350
chrI	197428
chrI	197459
chrI	197484
chrI	197497
chrI	197560
chrI	197629
chrI	197656
chrI	197694
chrI	197695
chrI	197765
chrI	197791
chrI	197811
chrI	197819
chrI	197825
chrI	197921
chrI	198022
chrI	198190
chrI	198215
chrI	198232
chrI	198244
chrI	198252
chrI	198259
chrI	198536
chrI	198562
chrI	198568
chrI	198620
chrI	198623
chrI	198648
chrI	198652
chrI	198657
chrI	198664
chrI	198707
chrI	198713
chrI	199811
chrI	199932
chrI	202663
chrI	202664
chrI	202692
chrI	202710
chrI	202727
chrI	202762
chrI	202825
chrI	202957
chrI	203349
chrI	203660
chrI	203973
chrI	203984
chrI	204023
chrI	204035
chrI	204041
chrI	204043
chrI	204047
chrI	204071
chrI	204074
chrI	204116
chrI	204448
chrI	207179
chrI	207449
chrI	207579
chrI	207621
chrI	207642
chrI	208064
chrI	208196
chrI	208276
chrI	208410
chrI	208511
chrI	208528
chrI	208529
chrI	208659
chrI	209772
chrI	209951
chrI	210350
chrI	210415
chrI	210818
chrI	211019
chrI	219190
chrI	219285
chrI	219669
chrI	220382
chrI	220518
chrI	221658
chrI	221681
chrI	221690
chrI	222095
chrI	222191
chrI	222206
chrI	222605
chrI	224784
chrI	224831
chrI	227218
chrI	227523
chrI	227620
chrI	227665
chrI	228199
chrI	228756
chrI	229104
chrII	102
chrII	103
chrII	173
chrII	465
chrII	796
chrII	1187
chrII	1372
chrII	2539
chrII	5933
chrII	6047
chrII	6841
chrII	7006
chrII	7150
chrII	7167
chrII	7172
chrII	7183
chrII	7186
chrII	7209
chrII	7432
chrII	7481
chrII	7511
chrII	8174
chrII	8221
chrII	8222
chrII	8288
chrII	8306
chrII	8331
chrII	9679
chrII	9688
chrII	9859
chrII	10136
chrII	10210
chrII	10627
chrII	10674
chrII	10783
chrII	10795
chrII	10943
chrII	11039
chrII	11360
chrII	11361
chrII	11545
chrII	11749
chrII	13609
chrII	15234
chrII	15830
chrII	18082
chrII	18175
chrII	18513
chrII	20445
chrII	21769
chrII	21977
chrII	21979
chrII	23766
chrII	24859
chrII	26029
chrII	26161
chrII	28538
chrII	28912
chrII	29190
chrII	29361
chrII	29377
chrII	30012
chrII	31236
chrII	31242
chrII	31253
chrII	31260
chrII	31264
chrII	31318
chrII	31486
chrII	31525
chrII	33075
chrII	33391
chrII	33392
chrII	34298
chrII	35631
chrII	35688
chrII	35718
chrII	35736
chrII	35737
chrII	37424
chrII	40592
chrII	40699
chrII	40992
chrII	41046
chrII	41484
chrII	42187
chrII	43330
chrII	43348
chrII	43708
chrII	44047
chrII	44974
chrII	45009
chrII	47612
chrII	48762
chrII	50569
chrII	50947
chrII	50954
chrII	51538
chrII	52217
chrII	53512
chrII	53802
chrII	54042
chrII	54607
chrII	54682
chrII	54988
chrII	57316
chrII	58496
chrII	58787
chrII	59525
chrII	60545
chrII	61031
chrII	61287
chrII	61810
chrII	62000
chrII	63304
chrII	64139
chrII	64864
chrII	66052
chrII	66467
chrII	66479
chrII	68286
chrII	68298
chrII	69616
chrII	70638
chrII	71276
chrII	71420
chrII	72018
chrII	72096
chrII	73337
chrII	73943
chrII	76212
chrII	76314
chrII	77577
chrII	77651
chrII	77714
chrII	78701
chrII	79837
chrII	81655
chrII	81997
chrII	82573
chrII	83944
chrII	84352
chrII	84631
chrII	84823
chrII	85339
chrII	85504
chrII	85528
chrII	85816
chrII	85903
chrII	86473
chrII	88046
chrII	88087
chrII	89621
chrII	89628
chrII	93100
chrII	93772
chrII	95093
chrII	95376
chrII	96664
chrII	97530
chrII	97590
chrII	97884
chrII	99188
chrII	99228
chrII	100367
chrII	100413
chrII	100878
chrII	102815
chrII	104735
chrII	105316
chrII	105376
chrII	105621
chrII	105973
chrII	106303
chrII	106348
chrII	107779
chrII	108764
chrII	110028
chrII	110153
chrII	110550
chrII	110721
chrII	111288
chrII	111970
chrII	112378
chrII	112399
chrII	112454
chrII	112618
chrII	113452
chrII	115635
chrII	116701
chrII	116704
chrII	116707
chrII	116832
chrII	116947
chrII	118815
chrII	120630
chrII	121809
chrII	123339
chrII	124505
chrII	124616
chrII	125022
chrII	129437
chrII	130349
chrII	131051
chrII	131783
chrII	133239
chrII	134090
chrII	138275
chrII	138835
chrII	142133
chrII	142181
chrII	142980
chrII	143327
chrII	143335
chrII	143491
chrII	144853
chrII	144991
chrII	145108
chrII	146114
chrII	146248
chrII	147484
chrII	148429
chrII	149026
chrII	151574
chrII	151709
chrII	151724
chrII	154740
chrII	158114
chrII	158953
chrII	159079
chrII	159891
chrII	164419
chrII	166703
chrII	167527
chrII	168150
chrII	168653
chrII	168711
chrII	168731
chrII	169820
chrII	169875
chrII	170442
chrII	171570
chrII	172038
chrII	173028
chrII	173043
chrII	174060
chrII	174535
chrII	174715
chrII	175054
chrII	175109
chrII	175784
chrII	176009
chrII	176261
chrII	177622
chrII	179248
chrII	179257
chrII	179872
chrII	181635
chrII	182892
chrII	182901
chrII	183456
chrII	184249
chrII	186424
chrII	186623
chrII	186648
chrII	186709
chrII	186778
chrII	187873
chrII	189673
chrII	190816
chrII	193380
chrII	193398
chrII	195009
chrII	197761
chrII	198512
chrII	198672
chrII	198782
chrII	202411
chrII	204179
chrII	204458
chrII	204923
chrII	204924
chrII	204995
chrII	205151
chrII	205157
chrII	207171
chrII	208417
chrII	208543
chrII	208870
chrII	208879
chrII	208915
chrII	209754
chrII	210990
chrII	211332
chrII	211581
chrII	214711
chrII	216794
chrII	217015
chrII	217109
chrII	217636
chrII	217676
chrII	226979
chrII	228645
chrII	230849
chrII	235634
chrII	235877
chrII	237151
chrII	242434
chrII	243768
chrII	243846
chrII	245073
chrII	245305
chrII	246575
chrII	246579
chrII	247522
chrII	247531
chrII	247789
chrII	248152
chrII	249073
chrII	251004
chrII	255688
chrII	255740
chrII	255743
chrII	258208
chrII	258211
chrII	258409
chrII	258852
chrII	258896
chrII	258961
chrII	258965
chrII	258971
chrII	259235
chrII	259419
chrII	259764
chrII	263153
chrII	265394
chrII	265831
chrII	266250
chrII	266478
chrII	266551
chrII	266791
chrII	267525
chrII	268100
chrII	268167
chrII	268319
chrII	268895
chrII	268913
chrII	268925
chrII	268930
chrII	268949
chrII	269904
chrII	269983
chrII	269986
chrII	269987
chrII	272540
chrII	273772
chrII	273781
chrII	273923
chrII	274076
chrII	274145
chrII	274152
chrII	274206
chrII	274209
chrII	274303
chrII	274372
chrII	274375
chrII	274439
chrII	274460
chrII	274625
chrII	275968
chrII	276052
chrII	276361
chrII	276526
chrII	277566
chrII	278884
chrII	278927
chrII	279623
chrII	280684
chrII	280810
chrII	282024
chrII	282128
chrII	286327
chrII	286762
chrII	286855
chrII	286894
chrII	287113
chrII	288081
chrII	288339
chrII	288498
chrII	288780
chrII	288800
chrII	288809
chrII	288880
chrII	288893
chrII	288986
chrII	289069
chrII	289364
chrII	289601
chrII	289642
chrII	289723
chrII	289906
chrII	291653
chrII	292193
chrII	292257
chrII	292578
chrII	292676
chrII	292752
chrII	292755
chrII	292860
chrII	292991
chrII	293504
chrII	294230
chrII	296774
chrII	297515
chrII	298732
chrII	299196
chrII	299524
chrII	300111
chrII	301002
chrII	302822
chrII	303540
chrII	304737
chrII	307459
chrII	307613
chrII	307713
chrII	307808
chrII	307858
chrII	307944
chrII	307989
chrII	307994
chrII	308006
chrII	308083
chrII	308205
chrII	308422
chrII	308477
chrII	309603
chrII	310032
chrII	310088
chrII	310706
chrII	311366
chrII	311676
chrII	313835
chrII	314258
chrII	314330
chrII	315655
chrII	315988
chrII	316012
chrII	316739
chrII	317339
chrII	318192
chrII	320188
chrII	320539
chrII	320632
chrII	322122
chrII	322620
chrII	323214
chrII	323577
chrII	324220
chrII	326297
chrII	326372
chrII	326592
chrII	326704
chrII	326734
chrII	326754
chrII	326757
chrII	326765
chrII	328531
chrII	328908
chrII	329583
chrII	329654
chrII	331580
chrII	331783
chrII	331937
chrII	332399
chrII	332422
chrII	332471
chrII	332630
chrII	332992
chrII	333194
chrII	333321
chrII	333347
chrII	334070
chrII	336720
chrII	336747
chrII	337897
chrII	341038
chrII	341567
chrII	342004
chrII	343970
chrII	344225
chrII	344282
chrII	344938
chrII	346636
chrII	348625
chrII	349506
chrII	349820
chrII	350030
chrII	350081
chrII	350135
chrII	350178
chrII	350376
chrII	350491
chrII	350580
chrII	350657
chrII	350675
chrII	350686
chrII	351999
chrII	353810
chrII	354093
chrII	354704
chrII	355406
chrII	355622
chrII	355748
chrII	356060
chrII	356128
chrII	356462
chrII	359576
chrII	360862
chrII	361648
chrII	362377
chrII	362702
chrII	363144
chrII	363224
chrII	367587
chrII	369040
chrII	369657
chrII	369692
chrII	369847
chrII	371601
chrII	372481
chrII	372954
chrII	374149
chrII	375801
chrII	376667
chrII	377622
chrII	377735
chrII	378164
chrII	378523
chrII	379421
chrII	380911
chrII	381522
chrII	384458
chrII	384578
chrII	384692
chrII	385445
chrII	385559
chrII	385766
chrII	385925
chrII	386954
chrII	387954
chrII	389242
chrII	389492
chrII	389585
chrII	389620
chrII	389867
chrII	389935
chrII	390133
chrII	390676
chrII	390823
chrII	392090
chrII	392135
chrII	393191
chrII	393708
chrII	394376
chrII	395218
chrII	395258
chrII	395349
chrII	397849
chrII	398314
chrII	399535
chrII	399991
chrII	401612
chrII	404406
chrII	404586
chrII	404589
chrII	405275
chrII	405625
chrII	405666
chrII	405716
chrII	407113
chrII	407146
chrII	407450
chrII	407559
chrII	407564
chrII	407570
chrII	407571
chrII	407830
chrII	407831
chrII	408433
chrII	409999
chrII	413099
chrII	413111
chrII	413117
chrII	413264
chrII	413270
chrII	415575
chrII	416243
chrII	416376
chrII	416426
chrII	416935
chrII	417239
chrII	417346
chrII	417468
chrII	417694
chrII	417762
chrII	417797
chrII	417944
chrII	417952
chrII	417968
chrII	417969
chrII	417980
chrII	418007
chrII	418042
chrII	418045
chrII	418065
chrII	418148
chrII	418150
chrII	418183
chrII	418255
chrII	418420
chrII	418450
chrII	418484
chrII	419086
chrII	419931
chrII	420402
chrII	420411
chrII	421692
chrII	422415
chrII	422583
chrII	422622
chrII	423351
chrII	423518
chrII	423550
chrII	423800
chrII	424031
chrII	424346
chrII	424451
chrII	425844
chrII	426165
chrII	426299
chrII	426669
chrII	427812
chrII	427998
chrII	428040
chrII	428055
chrII	428058
chrII	428059
chrII	428060
chrII	428064
chrII	428982
chrII	429360
chrII	430055
chrII	430301
chrII	431999
chrII	433856
chrII	434484
chrII	437307
chrII	438582
chrII	439191
chrII	439486
chrII	442233
chrII	443759
chrII	444181
chrII	444205
chrII	444343
chrII	444564
chrII	444664
chrII	445482
chrII	445521
chrII	445614
chrII	445731
chrII	445764
chrII	445794
chrII	446007
chrII	447300
chrII	447536
chrII	447726
chrII	447876
chrII	448634
chrII	451344
chrII	452365
chrII	452436
chrII	452437
chrII	452438
chrII	453044
chrII	453581
chrII	453654
chrII	453655
chrII	453718
chrII	454122
chrII	454135
chrII	454336
chrII	454488
chrII	454753
chrII	454884
chrII	455010
chrII	456132
chrII	456240
chrII	456336
chrII	457395
chrII	458104
chrII	458640
chrII	458800
chrII	458813
chrII	458919
chrII	459628
chrII	459672
chrII	460385
chrII	460418
chrII	460566
chrII	461079
chrII	461852
chrII	461887
chrII	464478
chrII	464667
chrII	465156
chrII	466724
chrII	467580
chrII	469816
chrII	470150
chrII	470873
chrII	472731
chrII	473060
chrII	473105
chrII	473108
chrII	475985
chrII	475994
chrII	476506
chrII	476602
chrII	476910
chrII	481140
chrII	481670
chrII	484110
chrII	485396
chrII	485633
chrII	488579
chrII	488755
chrII	488899
chrII	489223
chrII	489238
chrII	489688
chrII	489703
chrII	491265
chrII	493123
chrII	493755
chrII	493942
chrII	495085
chrII	495979
chrII	497477
chrII	498348
chrII	498404
chrII	498575
chrII	498596
chrII	498623
chrII	498674
chrII	498695
chrII	498905
chrII	498935
chrII	498959
chrII	499010
chrII	499070
chrII	501990
chrII	502058
chrII	502313
chrII	504359
chrII	504587
chrII	504739
chrII	504741
chrII	505431
chrII	506915
chrII	507219
chrII	507938
chrII	508130
chrII	509108
chrII	509360
chrII	509507
chrII	509627
chrII	509720
chrII	511436
chrII	512222
chrII	513451
chrII	513994
chrII	514077
chrII	514468
chrII	515050
chrII	515130
chrII	515211
chrII	515871
chrII	515876
chrII	515879
chrII	515996
chrII	517214
chrII	517291
chrII	517497
chrII	518133
chrII	519060
chrII	520340
chrII	520673
chrII	520674
chrII	521631
chrII	522774
chrII	524097
chrII	524475
chrII	524916
chrII	525492
chrII	526248
chrII	526527
chrII	526594
chrII	526673
chrII	526690
chrII	527451
chrII	527493
chrII	528370
chrII	528511
chrII	529129
chrII	529552
chrII	529840
chrII	529864
chrII	530080
chrII	530098
chrII	532705
chrII	532850
chrII	532864
chrII	532899
chrII	533095
chrII	533102
chrII	533723
chrII	535096
chrII	535193
chrII	535535
chrII	536808
chrII	537210
chrII	537535
chrII	537796
chrII	538048
chrII	538121
chrII	539637
chrII	541156
chrII	541386
chrII	542664
chrII	542895
chrII	543129
chrII	543363
chrII	543393
chrII	543495
chrII	543588
chrII	544134
chrII	544299
chrII	544459
chrII	544475
chrII	544499
chrII	545558
chrII	545985
chrII	546140
chrII	547596
chrII	547617
chrII	547636
chrII	548176
chrII	549229
chrII	549576
chrII	550124
chrII	550241
chrII	550736
chrII	552407
chrII	552684
chrII	553403
chrII	553663
chrII	553780
chrII	553783
chrII	555562
chrII	555819
chrII	555881
chrII	555964
chrII	556275
chrII	556857
chrII	558471
chrII	558597
chrII	558881
chrII	559000
chrII	559186
chrII	559359
chrII	559515
chrII	559650
chrII	559695
chrII	559732
chrII	560022
chrII	562452
chrII	563013
chrII	563695
chrII	564550
chrII	564636
chrII	564639
chrII	565711
chrII	565735
chrII	566061
chrII	566552
chrII	568357
chrII	568465
chrII	569064
chrII	569301
chrII	569302
chrII	569460
chrII	569856
chrII	570301
chrII	570508
chrII	571218
chrII	571243
chrII	571349
chrII	572114
chrII	572340
chrII	573399
chrII	573536
chrII	573669
chrII	573799
chrII	574371
chrII	574593
chrII	574683
chrII	574755
chrII	575427
chrII	575523
chrII	575685
chrII	575949
chrII	576135
chrII	576166
chrII	578174
chrII	578954
chrII	579032
chrII	580371
chrII	580560
chrII	580809
chrII	581322
chrII	581510
chrII	581511
chrII	581615
chrII	581695
chrII	582433
chrII	582458
chrII	588329
chrII	592447
chrII	592600
chrII	592634
chrII	594022
chrII	594492
chrII	595246
chrII	595497
chrII	596681
chrII	596684
chrII	597170
chrII	598928
chrII	599573
chrII	599979
chrII	600991
chrII	601087
chrII	601251
chrII	602047
chrII	602171
chrII	602182
chrII	602687
chrII	602697
chrII	602847
chrII	602855
chrII	603825
chrII	603865
chrII	603916
chrII	603992
chrII	605773
chrII	605997
chrII	606458
chrII	606658
chrII	607269
chrII	607558
chrII	607602
chrII	607705
chrII	607867
chrII	609073
chrII	609397
chrII	609798
chrII	612287
chrII	613145
chrII	614308
chrII	615097
chrII	615346
chrII	615566
chrII	616376
chrII	616805
chrII	616838
chrII	617504
chrII	617810
chrII	618597
chrII	618736
chrII	620302
chrII	621057
chrII	621546
chrII	622305
chrII	622971
chrII	623027
chrII	623427
chrII	623968
chrII	624493
chrII	624740
chrII	624805
chrII	624836
chrII	625203
chrII	625721
chrII	625843
chrII	626278
chrII	626608
chrII	628267
chrII	628559
chrII	628560
chrII	628674
chrII	629636
chrII	630671
chrII	630833
chrII	632908
chrII	633176
chrII	633318
chrII	633855
chrII	633876
chrII	635445
chrII	635478
chrII	636168
chrII	636537
chrII	636709
chrII	636994
chrII	639745
chrII	641433
chrII	642049
chrII	642492
chrII	642969
chrII	642978
chrII	643134
chrII	643914
chrII	643915
chrII	643931
chrII	644145
chrII	644482
chrII	644529
chrII	644646
chrII	645021
chrII	645058
chrII	645081
chrII	645592
chrII	646110
chrII	646209
chrII	648554
chrII	652362
chrII	653133
chrII	653876
chrII	654312
chrII	654339
chrII	654360
chrII	656467
chrII	660728
chrII	661314
chrII	661878
chrII	663562
chrII	666885
chrII	667170
chrII	668984
chrII	669257
chrII	669262
chrII	676577
chrII	677014
chrII	679063
chrII	679168
chrII	681127
chrII	681206
chrII	681414
chrII	682968
chrII	689085
chrII	689912
chrII	689996
chrII	690123
chrII	691367
chrII	691649
chrII	693825
chrII	693923
chrII	693928
chrII	694124
chrII	694133
chrII	694153
chrII	696781
chrII	697695
chrII	698648
chrII	699380
chrII	700097
chrII	700109
chrII	701303
chrII	701354
chrII	702007
chrII	702008
chrII	702014
chrII	704528
chrII	704922
chrII	705302
chrII	705633
chrII	706983
chrII	708202
chrII	711099
chrII	711439
chrII	711554
chrII	711722
chrII	711792
chrII	711804
chrII	711873
chrII	712159
chrII	712456
chrII	712622
chrII	712877
chrII	713038
chrII	717374
chrII	719463
chrII	721863
chrII	721938
chrII	722576
chrII	723385
chrII	723393
chrII	723665
chrII	723865
chrII	724096
chrII	724953
chrII	725223
chrII	725754
chrII	726985
chrII	727268
chrII	727326
chrII	727581
chrII	728076
chrII	728585
chrII	729547
chrII	730031
chrII	730059
chrII	730234
chrII	730392
chrII	730763
chrII	730949
chrII	731212
chrII	731292
chrII	731473
chrII	731475
chrII	731564
chrII	732591
chrII	733809
chrII	734046
chrII	735096
chrII	735240
chrII	735582
chrII	736946
chrII	737397
chrII	737979
chrII	738015
chrII	738886
chrII	740026
chrII	740164
chrII	740350
chrII	741097
chrII	742472
chrII	743899
chrII	746583
chrII	746619
chrII	747177
chrII	748066
chrII	750157
chrII	750649
chrII	750709
chrII	750714
chrII	752292
chrII	752333
chrII	752538
chrII	752597
chrII	752672
chrII	752744
chrII	752817
chrII	752916
chrII	753198
chrII	753285
chrII	753573
chrII	753610
chrII	753721
chrII	753723
chrII	753942
chrII	753990
chrII	754188
chrII	754404
chrII	759661
chrII	761529
chrII	761787
chrII	761814
chrII	761853
chrII	761880
chrII	761904
chrII	761943
chrII	763300
chrII	764939
chrII	766339
chrII	767058
chrII	767375
chrII	768374
chrII	769903
chrII	772129
chrII	773042
chrII	773188
chrII	775344
chrII	775560
chrII	775563
chrII	777341
chrII	777883
chrII	777909
chrII	778183
chrII	778285
chrII	778544
chrII	782369
chrII	783292
chrII	784884
chrII	785196
chrII	785248
chrII	785445
chrII	786204
chrII	786546
chrII	786902
chrII	787633
chrII	787939
chrII	788190
chrII	788377
chrII	790744
chrII	790803
chrII	791380
chrII	791833
chrII	792247
chrII	792465
chrII	792968
chrII	793276
chrII	793478
chrII	794038
chrII	794075
chrII	794106
chrII	794124
chrII	794394
chrII	794621
chrII	794651
chrII	794794
chrII	794976
chrII	795035
chrII	795146
chrII	795170
chrII	795224
chrII	795419
chrII	795422
chrII	795692
chrII	796726
chrII	797042
chrII	798886
chrII	799111
chrII	799230
chrII	799240
chrII	799718
chrII	799796
chrII	800195
chrII	800316
chrII	800694
chrII	800859
chrII	801689
chrII	801690
chrII	801699
chrII	802257
chrII	802651
chrII	803138
chrII	803495
chrII	803507
chrII	803552
chrII	803861
chrII	803935
chrII	803964
chrII	803993
chrII	804112
chrII	804303
chrII	804467
chrII	804522
chrII	804560
chrII	804646
chrII	804775
chrII	806230
chrII	806262
chrII	807590
chrII	808409
chrII	809220
chrII	810340
chrII	810344
chrII	810461
chrII	810515
chrII	810883
chrII	812989
chrIII	422
chrIII	550
chrIII	632
chrIII	666
chrIII	1264
chrIII	1358
chrIII	1397
chrIII	2042
chrIII	2554
chrIII	2566
chrIII	2869
chrIII	3079
chrIII	3290
chrIII	3393
chrIII	3939
chrIII	4184
chrIII	4351
chrIII	4360
chrIII	4395
chrIII	4489
chrIII	5464
chrIII	5520
chrIII	5678
chrIII	5828
chrIII	5904
chrIII	6009
chrIII	6050
chrIII	6337
chrIII	6401
chrIII	6455
chrIII	6489
chrIII	6513
chrIII	6542
chrIII	6747
chrIII	8528
chrIII	8572
chrIII	8587
chrIII	8696
chrIII	8743
